Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer..ctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.EnsureParentToken",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.InsertItem",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",7,7,1.39,1.39,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",4,4,0.79,0.79,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.RemoveItem",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.CloneToken",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.Load",10,10,1.98,1.98,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.Parse",6,6,1.19,1.19,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.WriteTo",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JProperty.SetItem",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",8,8,1.58,1.58,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",9,9,1.78,1.78,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",12,12,2.38,2.38,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",15,15,2.97,2.97,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath..ctor",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter",4,4,0.79,0.79,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",6,6,1.19,1.19,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",24,24,4.75,4.75,
