Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","Newtonsoft.Json.Linq.JContainer..ctor","Newtonsoft.Json.Linq.JObject.CloneToken",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer..ctor","Newtonsoft.Json.Linq.JProperty..ctor",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer..ctor","[coreclr.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.Linq.JContainer..ctor","Newtonsoft.Json.Linq.JContainer.InsertItem",1,0,0.20,0.00,
"Root","Newtonsoft.Json.Linq.JContainer.Children","Newtonsoft.Json.Linq.JContainer.Children",1,1,0.20,0.20,
"Caller","Newtonsoft.Json.Linq.JContainer.Children","Newtonsoft.Json.Linq.JArray.GetEnumerator",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JContainer.EnsureParentToken","Newtonsoft.Json.Linq.JContainer.EnsureParentToken",3,0,0.59,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer.EnsureParentToken","Newtonsoft.Json.Linq.JContainer.InsertItem",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.EnsureParentToken","[coreclr.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.Linq.JContainer.EnsureParentToken","Newtonsoft.Json.Linq.JObject.CloneToken",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.EnsureParentToken","Newtonsoft.Json.Linq.JProperty.CloneToken",1,0,0.20,0.00,
"Root","Newtonsoft.Json.Linq.JContainer.get_First","Newtonsoft.Json.Linq.JContainer.get_First",1,1,0.20,0.20,
"Caller","Newtonsoft.Json.Linq.JContainer.get_First","Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JContainer.InsertItem","Newtonsoft.Json.Linq.JContainer.InsertItem",7,0,1.39,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer.InsertItem","Newtonsoft.Json.Linq.JContainer..ctor",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer.InsertItem","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",5,0,0.99,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.InsertItem","[coreclr.dll]",2,2,0.40,0.40,
"Callee","Newtonsoft.Json.Linq.JContainer.InsertItem","Newtonsoft.Json.Linq.JContainer.EnsureParentToken",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.InsertItem","Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem",2,1,0.40,0.20,
"Root","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",29,0,5.74,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",29,0,5.74,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","[coreclr.dll]",7,7,1.39,1.39,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","Newtonsoft.Json.JsonTextReader.ParseObject",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","Newtonsoft.Json.JsonTextReader.ParseValue",14,0,2.77,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","Newtonsoft.Json.JsonTextReader.Read",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadContentFrom","Newtonsoft.Json.Linq.JContainer.InsertItem",5,0,0.99,0.00,
"Root","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",38,0,7.52,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom","Newtonsoft.Json.Linq.JObject.Load",38,0,7.52,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom","[coreclr.dll]",4,4,0.79,0.79,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom","Newtonsoft.Json.JsonTextReader.ParseProperty",5,0,0.99,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",29,0,5.74,0.00,
"Root","Newtonsoft.Json.Linq.JContainer.RemoveItem","Newtonsoft.Json.Linq.JContainer.RemoveItem",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.Linq.JContainer.RemoveItem","Newtonsoft.Json.Linq.JToken.Remove",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JContainer.RemoveItem","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JObject.CloneToken","Newtonsoft.Json.Linq.JObject.CloneToken",2,0,0.40,0.00,
"Caller","Newtonsoft.Json.Linq.JObject.CloneToken","Newtonsoft.Json.Linq.JContainer.EnsureParentToken",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.CloneToken","[coreclr.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.Linq.JObject.CloneToken","Newtonsoft.Json.Linq.JContainer..ctor",1,0,0.20,0.00,
"Root","Newtonsoft.Json.Linq.JObject.Load","Newtonsoft.Json.Linq.JObject.Load",51,0,10.10,0.00,
"Caller","Newtonsoft.Json.Linq.JObject.Load","Newtonsoft.Json.Linq.JObject.Parse",51,0,10.10,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.Load","[coreclr.dll]",10,10,1.98,1.98,
"Callee","Newtonsoft.Json.Linq.JObject.Load","Newtonsoft.Json.JsonTextReader.ParseValue",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.Load","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",38,0,7.52,0.00,
"Root","Newtonsoft.Json.Linq.JObject.Parse","Newtonsoft.Json.Linq.JObject.Parse",57,0,11.29,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.Parse","[coreclr.dll]",6,6,1.19,1.19,
"Callee","Newtonsoft.Json.Linq.JObject.Parse","Newtonsoft.Json.Linq.JObject.Load",51,0,10.10,0.00,
"Root","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.Linq.JObject.WriteTo",9,0,1.78,0.00,
"Caller","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.Linq.JObject.WriteTo",3,0,0.59,0.00,
"Caller","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.Linq.JToken.ToString",9,0,1.78,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.WriteTo","[coreclr.dll]",2,2,0.40,0.40,
"Callee","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.JsonTextWriter.WriteStartObject",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.JsonWriter.AutoCompleteClose",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.Linq.JObject.WriteTo",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.Linq.JProperty.WriteTo",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JObject.WriteTo","Newtonsoft.Json.Linq.JValue.WriteTo",1,0,0.20,0.00,
"Root","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",26,12,5.15,2.38,
"Caller","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",26,12,5.15,2.38,
"Callee","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext","[coreclr.dll]",3,3,0.59,0.59,
"Callee","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext","[System.Private.CoreLib.dll]",11,11,2.18,2.18,
"Root","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current",3,1,0.59,0.20,
"Caller","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",3,1,0.59,0.20,
"Callee","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current","[coreclr.dll]",2,2,0.40,0.40,
"Root","Newtonsoft.Json.Linq.JProperty..ctor","Newtonsoft.Json.Linq.JProperty..ctor",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.Linq.JProperty..ctor","Newtonsoft.Json.Linq.JProperty.CloneToken",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JProperty..ctor","Newtonsoft.Json.Linq.JContainer..ctor",1,0,0.20,0.00,
"Root","Newtonsoft.Json.Linq.JProperty.CloneToken","Newtonsoft.Json.Linq.JProperty.CloneToken",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.Linq.JProperty.CloneToken","Newtonsoft.Json.Linq.JContainer.EnsureParentToken",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JProperty.CloneToken","Newtonsoft.Json.Linq.JProperty..ctor",1,0,0.20,0.00,
"Root","Newtonsoft.Json.Linq.JProperty.SetItem","Newtonsoft.Json.Linq.JProperty.SetItem",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JProperty.SetItem","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JProperty.WriteTo","Newtonsoft.Json.Linq.JProperty.WriteTo",3,0,0.59,0.00,
"Caller","Newtonsoft.Json.Linq.JProperty.WriteTo","Newtonsoft.Json.Linq.JObject.WriteTo",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JProperty.WriteTo","Newtonsoft.Json.JsonTextWriter.WritePropertyName",3,0,0.59,0.00,
"Root","Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem","Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem",2,1,0.40,0.20,
"Caller","Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem","Newtonsoft.Json.Linq.JContainer.InsertItem",2,1,0.40,0.20,
"Callee","Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem","[System.Private.CoreLib.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",14,6,2.77,1.19,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",14,6,2.77,1.19,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter","[coreclr.dll]",8,8,1.58,1.58,
"Root","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",84,10,16.63,1.98,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",28,2,5.54,0.40,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",62,3,12.28,0.59,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",60,5,11.88,0.99,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","[coreclr.dll]",9,9,1.78,1.78,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","[System.Private.CoreLib.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JArray.GetEnumerator",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",28,2,5.54,0.40,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",68,10,13.47,1.98,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",27,4,5.35,0.79,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",4,3,0.79,0.59,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,1,0.40,0.20,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",2,2,0.40,0.40,
"Callee","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose",1,1,0.20,0.20,
"Caller","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",16,4,3.17,0.79,
"Caller","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",16,4,3.17,0.79,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter","[coreclr.dll]",12,12,2.38,2.38,
"Root","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",103,18,20.40,3.56,
"Caller","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",68,10,13.47,1.98,
"Caller","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",88,5,17.43,0.99,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","[coreclr.dll]",15,15,2.97,2.97,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","[System.Private.CoreLib.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",26,12,5.15,2.38,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current",3,1,0.59,0.20,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",62,3,12.28,0.59,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",2,1,0.40,0.20,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",88,5,17.43,0.99,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",5,2,0.99,0.40,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",45,1,8.91,0.20,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",7,4,1.39,0.79,
"Caller","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,
"Caller","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",5,2,0.99,0.40,
"Callee","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator","[coreclr.dll]",3,3,0.59,0.59,
"Root","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath..ctor","Newtonsoft.Json.Linq.JsonPath.JPath..ctor",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath..ctor","[coreclr.dll]",3,3,0.59,0.59,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter",7,3,1.39,0.59,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",7,3,1.39,0.59,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter","[coreclr.dll]",4,4,0.79,0.79,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace","Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",7,7,1.39,1.39,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace","Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer",3,3,0.59,0.59,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",4,4,0.79,0.79,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.EnsureLength","Newtonsoft.Json.Linq.JsonPath.JPath.EnsureLength",1,1,0.20,0.20,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.EnsureLength","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",70,10,13.86,1.98,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate","[coreclr.dll]",6,6,1.19,1.19,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate","[System.Private.CoreLib.dll]",18,18,3.56,3.56,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",14,6,2.77,1.19,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",16,4,3.17,0.79,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate","Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter",6,3,1.19,0.59,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer",9,6,1.78,1.19,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",9,6,1.78,1.19,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",3,3,0.59,0.59,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",9,4,1.78,0.79,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",9,4,1.78,0.79,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",4,4,0.79,0.79,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer","Newtonsoft.Json.Linq.JsonPath.JPath.EnsureLength",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",162,2,32.08,0.40,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain","Newtonsoft.Json.Linq.JToken.SelectToken",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain","[coreclr.dll]",2,2,0.40,0.40,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",158,51,31.29,10.10,
"Root","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",158,51,31.29,10.10,
"Caller","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",158,51,31.29,10.10,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","[coreclr.dll]",24,24,4.75,4.75,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","[System.Private.CoreLib.dll]",58,58,11.49,11.49,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter",7,3,1.39,0.59,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer",9,6,1.78,1.19,
"Callee","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath","Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",9,4,1.78,0.79,
"Root","Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue","Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue","Newtonsoft.Json.Linq.JContainer.get_First",1,1,0.20,0.20,
"Root","Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter","Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter",6,3,1.19,0.59,
"Caller","Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",6,3,1.19,0.59,
"Callee","Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter","[coreclr.dll]",3,3,0.59,0.59,
"Root","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext","Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",65,5,12.87,0.99,
