Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Newtonsoft.Json.Serialization.DefaultContractResolver.IsValidCallback",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveCallbackMethods",6,0,1.19,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveContract",57,0,11.29,0.00,
"Newtonsoft.Json.Serialization.DefaultSerializationBinder..cctor",3,0,0.59,0.00,
"Newtonsoft.Json.Serialization.DefaultSerializationBinder..ctor",2,0,0.40,0.00,
"Newtonsoft.Json.Serialization.JsonContract..ctor",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.JsonPrimitiveContract..cctor",3,0,0.59,0.00,
"Newtonsoft.Json.Serialization.JsonPrimitiveContract..ctor",7,0,1.39,0.00,
"Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize",65,0,12.87,0.00,
"Newtonsoft.Json.Serialization.JsonTypeReflector.GetAssociateMetadataTypeFromAttribute",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.JsonTypeReflector.GetAttribute",3,0,0.59,0.00,
"Newtonsoft.Json.Utilities.CollectionUtils.ArrayEmpty",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ConvertUtils..cctor",5,0,0.99,0.00,
"Newtonsoft.Json.Utilities.ConvertUtils.GetTypeCode",8,0,1.58,0.00,
"Newtonsoft.Json.Utilities.DateTimeUtils.TryParseDateTime",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.EnumUtils.GetValues",2,0,0.40,0.00,
"Newtonsoft.Json.Utilities.ExpressionReflectionDelegateFactory.CreateDefaultConstructor",15,0,2.97,0.00,
"Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",6,0,1.19,0.00,
"Newtonsoft.Json.Utilities.JavaScriptUtils.GetCharEscapeFlags",7,0,1.39,0.00,
"Newtonsoft.Json.Utilities.ReflectionUtils..cctor",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ReflectionUtils.GetAttribute",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ReflectionUtils.GetDefaultConstructor",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ReflectionUtils.IsNullable",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.ConvertUtils+TypeConvertKey,System.__Canon]..ctor",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.TypeNameKey,System.__Canon]..ctor",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.ThreadSafeStore`2[System.__Canon,System.__Canon].AddValue",5,0,0.99,0.00,
"Newtonsoft.Json.Utilities.TypeExtensions.GetFields",1,0,0.20,0.00,
"Newtonsoft.Json.Utilities.TypeExtensions.GetFieldsRecursive",1,0,0.20,0.00,
