Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
9,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
6,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
5,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
3,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",2,1,0.40,0.20,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
2,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
2,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",2,1,0.40,0.20,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
1,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",10,0,1.98,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",10,0,1.98,0.00,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",6,0,1.19,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",5,0,0.99,0.00,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",3,0,0.59,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
6,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
6,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JContainer.get_First",1,1,0.20,0.20,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
4,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",3,0,0.59,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",3,0,0.59,0.00,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",3,0,0.59,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
6,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
3,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,"Newtonsoft.Json.dll",
1,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
1,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,"Newtonsoft.Json.dll",
0,"Newtonsoft.Json.Linq.JToken.FromObjectInternal",76,0,15.05,0.00,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.JsonSerializer.SerializeInternal",66,0,13.07,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize",65,0,12.87,0.00,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveContract",57,0,11.29,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Serialization.DefaultContractResolver.CreateContract",53,0,10.50,0.00,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Serialization.DefaultContractResolver.CreatePrimitiveContract",45,0,8.91,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Serialization.DefaultContractResolver.InitializeContract",37,0,7.33,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Utilities.ExpressionReflectionDelegateFactory.CreateDefaultConstructor",15,0,2.97,0.00,"Newtonsoft.Json.dll",
8,"[coreclr.dll]",14,14,2.77,2.77,"coreclr.dll",
8,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
7,"[coreclr.dll]",6,5,1.19,0.99,"coreclr.dll",
8,"Newtonsoft.Json.Serialization.CachedAttributeGetter`1[System.__Canon]..cctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
9,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
7,"Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveCallbackMethods",6,0,1.19,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Serialization.DefaultContractResolver.GetCallbackMethodsForType",4,0,0.79,0.00,"Newtonsoft.Json.dll",
9,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
9,"Newtonsoft.Json.Serialization.DefaultContractResolver.IsValidCallback",1,0,0.20,0.00,"Newtonsoft.Json.dll",
10,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
8,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
7,"Newtonsoft.Json.Utilities.ThreadSafeStore`2[System.__Canon,System.__Canon].AddValue",5,0,0.99,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Serialization.JsonTypeReflector.GetAttribute",3,0,0.59,0.00,"Newtonsoft.Json.dll",
9,"Newtonsoft.Json.Utilities.ThreadSafeStore`2[System.__Canon,System.__Canon].AddValue",2,0,0.40,0.00,"Newtonsoft.Json.dll",
10,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
10,"Newtonsoft.Json.Serialization.JsonTypeReflector.GetAssociateMetadataTypeFromAttribute",1,0,0.20,0.00,"Newtonsoft.Json.dll",
11,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
9,"Newtonsoft.Json.Utilities.ReflectionUtils.GetAttribute",1,0,0.20,0.00,"Newtonsoft.Json.dll",
10,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
8,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
7,"Newtonsoft.Json.JsonSerializer.GetMatchingConverter",3,0,0.59,0.00,"Newtonsoft.Json.dll",
8,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
7,"Newtonsoft.Json.Utilities.ReflectionUtils.GetDefaultConstructor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
7,"[System.Linq.dll]",1,1,0.20,0.20,"System.Linq.dll",
6,"Newtonsoft.Json.Serialization.JsonPrimitiveContract..ctor",7,0,1.39,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",6,3,1.19,0.59,"coreclr.dll",
8,"Newtonsoft.Json.Serialization.JsonPrimitiveContract..cctor",3,0,0.59,0.00,"Newtonsoft.Json.dll",
9,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
7,"Newtonsoft.Json.Serialization.JsonContract..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Utilities.ReflectionUtils.IsNullable",1,0,0.20,0.00,"Newtonsoft.Json.dll",
9,"[coreclr.dll]",1,0,0.20,0.00,"coreclr.dll",
10,"Newtonsoft.Json.Utilities.ReflectionUtils..cctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
11,"Newtonsoft.Json.Utilities.CollectionUtils.ArrayEmpty",1,0,0.20,0.00,"Newtonsoft.Json.dll",
12,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.Serialization.DefaultContractResolver.IsJsonPrimitiveType",8,0,1.58,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Utilities.ConvertUtils.GetTypeCode",8,0,1.58,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",8,3,1.58,0.59,"coreclr.dll",
8,"Newtonsoft.Json.Utilities.ConvertUtils..cctor",5,0,0.99,0.00,"Newtonsoft.Json.dll",
9,"[coreclr.dll]",4,4,0.79,0.79,"coreclr.dll",
9,"Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.ConvertUtils+TypeConvertKey,System.__Canon]..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
10,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
4,"[coreclr.dll]",4,4,0.79,0.79,"coreclr.dll",
3,"[coreclr.dll]",7,7,1.39,1.39,"coreclr.dll",
3,"Newtonsoft.Json.JsonWriter.WriteValue",1,0,0.20,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JTokenWriter.WriteValue",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
2,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
1,"Newtonsoft.Json.JsonWriter..ctor",6,0,1.19,0.00,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",6,0,1.19,0.00,"coreclr.dll",
3,"Newtonsoft.Json.JsonWriter..cctor",6,0,1.19,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.JsonWriter.BuildStateArray",5,0,0.99,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
5,"Newtonsoft.Json.Utilities.EnumUtils.GetValues",2,0,0.40,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
6,"Newtonsoft.Json.Utilities.TypeExtensions.GetFields",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Utilities.TypeExtensions.GetFieldsRecursive",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"[System.Linq.dll]",1,1,0.20,0.20,"System.Linq.dll",
4,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
1,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
1,"Newtonsoft.Json.JsonWriter.AutoCompleteAll",1,0,0.20,0.00,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",70,10,13.86,1.98,"Newtonsoft.Json.dll",
1,"[System.Private.CoreLib.dll]",18,18,3.56,3.56,"System.Private.CoreLib.dll",
1,"Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",16,4,3.17,0.79,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",12,12,2.38,2.38,"coreclr.dll",
1,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",14,6,2.77,1.19,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",8,8,1.58,1.58,"coreclr.dll",
1,"Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter",6,3,1.19,0.59,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
1,"[coreclr.dll]",6,6,1.19,1.19,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JObject.Parse",57,0,11.29,0.00,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.Linq.JObject.Load",51,0,10.10,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",38,0,7.52,0.00,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JContainer.ReadContentFrom",29,0,5.74,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.JsonTextReader.ParseValue",14,0,2.77,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",7,7,1.39,1.39,"coreclr.dll",
5,"Newtonsoft.Json.JsonTextReader.ParseNull",2,0,0.40,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
6,"Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.JsonTextReader.ParseReadString",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Utilities.DateTimeUtils.TryParseDateTime",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.JsonReader.Push",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.JsonReader.ValidateEnd",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.JsonReader.Pop",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.JsonTextReader.ParseNumber",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.JsonTextReader.ReadNumberIntoBuffer",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.JsonTextReader.ReadStringIntoBuffer",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
4,"[coreclr.dll]",7,7,1.39,1.39,"coreclr.dll",
4,"Newtonsoft.Json.Linq.JContainer.InsertItem",5,0,0.99,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
5,"Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem",2,1,0.40,0.20,"Newtonsoft.Json.dll",
6,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
5,"Newtonsoft.Json.Linq.JContainer.EnsureParentToken",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
4,"Newtonsoft.Json.JsonTextReader.Read",2,0,0.40,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.JsonTextReader.ParsePostValue",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
4,"Newtonsoft.Json.JsonTextReader.ParseObject",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
3,"Newtonsoft.Json.JsonTextReader.ParseProperty",5,0,0.99,0.00,"Newtonsoft.Json.dll",
4,"[coreclr.dll]",5,5,0.99,0.99,"coreclr.dll",
3,"[coreclr.dll]",4,4,0.79,0.79,"coreclr.dll",
2,"[coreclr.dll]",10,10,1.98,1.98,"coreclr.dll",
2,"Newtonsoft.Json.JsonTextReader.ParseValue",3,0,0.59,0.00,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
3,"Newtonsoft.Json.JsonTextReader.ReadData",1,0,0.20,0.00,"Newtonsoft.Json.dll",
4,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
1,"[coreclr.dll]",6,6,1.19,1.19,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JToken.ToString",17,0,3.37,0.00,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.Linq.JObject.WriteTo",9,0,1.78,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JProperty.WriteTo",3,0,0.59,0.00,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.JsonTextWriter.WritePropertyName",3,0,0.59,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.JsonTextWriter.WriteEscapedString",2,0,0.40,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
4,"Newtonsoft.Json.JsonWriter.AutoComplete",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
2,"Newtonsoft.Json.Linq.JObject.WriteTo",3,0,0.59,0.00,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
3,"Newtonsoft.Json.Linq.JValue.WriteTo",1,0,0.20,0.00,"Newtonsoft.Json.dll",
4,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
2,"Newtonsoft.Json.JsonWriter.AutoCompleteClose",2,0,0.40,0.00,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
2,"Newtonsoft.Json.JsonTextWriter.WriteStartObject",1,0,0.20,0.00,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
1,"Newtonsoft.Json.JsonTextWriter..ctor",7,0,1.39,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Utilities.JavaScriptUtils.GetCharEscapeFlags",7,0,1.39,0.00,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",7,1,1.39,0.20,"coreclr.dll",
4,"Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",6,0,1.19,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",5,5,0.99,0.99,"coreclr.dll",
5,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
1,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JToken.SelectToken",7,0,1.39,0.00,"Newtonsoft.Json.dll",
1,"[coreclr.dll]",5,5,0.99,0.99,"coreclr.dll",
1,"Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",2,0,0.40,0.00,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",2,2,0.40,0.40,"coreclr.dll",
0,"Newtonsoft.Json.JsonSerializer.Create",4,0,0.79,0.00,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.JsonSerializer..ctor",4,0,0.79,0.00,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",4,0,0.79,0.00,"coreclr.dll",
3,"Newtonsoft.Json.Serialization.DefaultSerializationBinder..cctor",3,0,0.59,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Serialization.DefaultSerializationBinder..ctor",2,0,0.40,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
5,"Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.TypeNameKey,System.__Canon]..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
4,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
3,"Newtonsoft.Json.Serialization.DefaultContractResolver..cctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Serialization.DefaultContractResolver..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JsonPath.JPath..ctor",3,0,0.59,0.00,"Newtonsoft.Json.dll",
1,"[coreclr.dll]",3,3,0.59,0.59,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JContainer.InsertItem",2,0,0.40,0.00,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.Linq.JContainer.EnsureParentToken",2,0,0.40,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JObject.CloneToken",2,0,0.40,0.00,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
3,"Newtonsoft.Json.Linq.JContainer..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JContainer.InsertItem",1,0,0.20,0.00,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JContainer.EnsureParentToken",1,0,0.20,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JProperty.CloneToken",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JProperty..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Linq.JContainer..ctor",1,0,0.20,0.00,"Newtonsoft.Json.dll",
9,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JToken.Remove",2,0,0.40,0.00,"Newtonsoft.Json.dll",
1,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
1,"Newtonsoft.Json.Linq.JContainer.RemoveItem",1,0,0.20,0.00,"Newtonsoft.Json.dll",
2,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.Extensions+<Convert>d__14`2[System.__Canon,System.__Canon].MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
1,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose",1,1,0.20,0.20,"Newtonsoft.Json.dll",
0,"Newtonsoft.Json.Linq.JProperty.SetItem",1,0,0.20,0.00,"Newtonsoft.Json.dll",
1,"[coreclr.dll]",1,1,0.20,0.20,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,"Newtonsoft.Json.dll",
